總地點數:3256
Category0:
VenueId:427d5680f964a520a8211fe3		checkinsCount:55980		lat: 40.6716389935202	lng:-73.96381202180841	Category:4bf58dd8d48988d18f941735
VenueId:4c5d4dbf9b28d13aaf205970		checkinsCount:957		lat: 40.65408922638183	lng:-73.94627750734799	Category:4bf58dd8d48988d1ab941735
VenueId:50f5e2e1e4b052e41d96a7f0		checkinsCount:913		lat: 40.67492131033321	lng:-73.96688386761434	Category:4bf58dd8d48988d1ad941735
VenueId:4d4384e6befe236a9523ebe2		checkinsCount:844		lat: 40.66965758944761	lng:-73.96192476632201	Category:4bf58dd8d48988d198941735
VenueId:4c90cedb51d9b1f747f87a46		checkinsCount:802		lat: 40.66683496488295	lng:-73.95222430385623	Category:4bf58dd8d48988d1ae941735

Category2:
VenueId:4e0dec7cb3adc5405fcbe4c6		checkinsCount:969		lat: 40.67085751993316	lng:-73.96335124969482	Category:5267e4d9e4b0ec79466e48c8
VenueId:4dbc2b770437955ec02aeaa5		checkinsCount:846		lat: 40.66920793990923	lng:-73.96354337590422	Category:5267e4d9e4b0ec79466e48c7
VenueId:5276675311d282eacbde6fa9		checkinsCount:42		lat: 40.68794949529826	lng:-73.96864018539301	Category:5267e4d9e4b0ec79466e48c8

Category3:
VenueId:4dc16497d16455f8322791bb		checkinsCount:14699		lat: 40.678489507132525	lng:-73.96845077934393	Category:4bf58dd8d48988d1c9941735
VenueId:4d8fb0e1b46488bf0e3adda2		checkinsCount:11536		lat: 40.67335042443954	lng:-73.95708033593266	Category:4bf58dd8d48988d1c1941735
VenueId:4a6c86e5f964a520b8d01fe3		checkinsCount:10833		lat: 40.67455860011452	lng:-73.96323917017544	Category:4bf58dd8d48988d147941735
VenueId:4bb6daa5ef159c748ba076f7		checkinsCount:10649		lat: 40.68915478172291	lng:-73.95518615354698	Category:4bf58dd8d48988d155941735
VenueId:4adcc0a7f964a520702f21e3		checkinsCount:9652		lat: 40.679406	lng:-73.968334	Category:4bf58dd8d48988d14e941735
VenueId:4e306b3c18383aa77b01b3d2		checkinsCount:8330		lat: 40.680114177908685	lng:-73.96805474791232	Category:4bf58dd8d48988d1d1941735
VenueId:4e14d383d4c0e3d78b279017		checkinsCount:7523		lat: 40.67214723706506	lng:-73.95733289218009	Category:4bf58dd8d48988d1ca941735
VenueId:4a7a260bf964a520aae81fe3		checkinsCount:7406		lat: 40.677751476842175	lng:-73.96892716390042	Category:4bf58dd8d48988d143941735
VenueId:4db462a2fa8c350240e3f2a2		checkinsCount:6594		lat: 40.6777002	lng:-73.9688229	Category:4bf58dd8d48988d179941735
VenueId:4e652d07d164ddd5e6ef418f		checkinsCount:6302		lat: 40.675138493507006	lng:-73.95674742037444	Category:4bf58dd8d48988d151941735

Category4:
VenueId:481a14a5f964a520734f1fe3		checkinsCount:16278		lat: 40.672307292956866	lng:-73.95784374357962	Category:4bf58dd8d48988d117941735
VenueId:4075e780f964a52056f21ee3		checkinsCount:12815		lat: 40.678234702252034	lng:-73.96857131048762	Category:4bf58dd8d48988d116941735
VenueId:4bcb54340687ef3b057cddcc		checkinsCount:12769		lat: 40.68183918319127	lng:-73.96677481467539	Category:4bf58dd8d48988d117941735
VenueId:4b54d9caf964a520aacf27e3		checkinsCount:10015		lat: 40.680227142677516	lng:-73.96791703999043	Category:4bf58dd8d48988d11d941735
VenueId:49e1f68df964a520ea611fe3		checkinsCount:9833		lat: 40.67546836870601	lng:-73.96357781425837	Category:4bf58dd8d48988d116941735
VenueId:4ad13502f964a5207fdd20e3		checkinsCount:9476		lat: 40.676829026053525	lng:-73.96343804293127	Category:4bf58dd8d48988d116941735
VenueId:4ebca79ce300ba1043ce6d8a		checkinsCount:8408		lat: 40.67396103632496	lng:-73.95698262276463	Category:4bf58dd8d48988d122941735
VenueId:47bd72ecf964a520d84d1fe3		checkinsCount:8103		lat: 40.67991194119049	lng:-73.9679284768499	Category:4bf58dd8d48988d11e941735
VenueId:4e2a3b1fd4c0e5c89ab79a36		checkinsCount:7741		lat: 40.67739971396978	lng:-73.96390914916992	Category:4bf58dd8d48988d11e941735
VenueId:5235f7238bbde65f65372b18		checkinsCount:6228		lat: 40.682481	lng:-73.96168	Category:4bf58dd8d48988d116941735

Category5:
VenueId:4c97edbdf419a09395806b88		checkinsCount:79750		lat: 40.65016889724004	lng:-73.94957542419434	Category:5345731ebcbc57f1066c39b2
VenueId:42893400f964a52052231fe3		checkinsCount:61565		lat: 40.66390776998241	lng:-73.970947265625	Category:4bf58dd8d48988d163941735
VenueId:4ba93c43f964a520e5163ae3		checkinsCount:25898		lat: 40.67225179047422	lng:-73.97010951084154	Category:4bf58dd8d48988d163941735
VenueId:42717900f964a5206f211fe3		checkinsCount:24881		lat: 40.66760245789949	lng:-73.96317958831787	Category:52e81612bcbc57f1066b7a22
VenueId:4dab7425fa8cc764974da770		checkinsCount:24658		lat: 40.68571485984486	lng:-73.94043445587158	Category:4f2a25ac4b909258e854f55f
VenueId:4a468cd9f964a52015a91fe3		checkinsCount:21895		lat: 40.66875802311211	lng:-73.97030353546143	Category:4bf58dd8d48988d163941735
VenueId:4c02ec6bf56c2d7f442f1c66		checkinsCount:14973		lat: 40.66911608150882	lng:-73.94283771514893	Category:4f2a25ac4b909258e854f55f
VenueId:4662bcadf964a5206e471fe3		checkinsCount:14778		lat: 40.673673020430236	lng:-73.97013187408447	Category:4bf58dd8d48988d164941735
VenueId:4df2f04dd4c01ff6b2eaca87		checkinsCount:8606		lat: 40.664534396859345	lng:-73.9091346017041	Category:4f2a25ac4b909258e854f55f
VenueId:4c6b8bf096eaa5937bc622df		checkinsCount:7885		lat: 40.65378295079248	lng:-73.93064975738525	Category:4f2a25ac4b909258e854f55f

Category6:
VenueId:433f2300f964a52054281fe3		checkinsCount:15130		lat: 40.67256636389564	lng:-73.96884441375732	Category:4bf58dd8d48988d12f941735
VenueId:4b688c4df964a520357f2be3		checkinsCount:6750		lat: 40.65671312078148	lng:-73.94318103790283	Category:4bf58dd8d48988d196941735
VenueId:4b4fe5abf964a520f31827e3		checkinsCount:6074		lat: 40.65903036432116	lng:-73.93318357867925	Category:4bf58dd8d48988d196941735
VenueId:4b9a41dcf964a520c2a735e3		checkinsCount:5316		lat: 40.65506134735379	lng:-73.91249899654558	Category:4bf58dd8d48988d196941735
VenueId:4b96772ef964a520e0cd34e3		checkinsCount:2831		lat: 40.67832728653328	lng:-73.93717288970947	Category:4bf58dd8d48988d196941735
VenueId:49f19a05f964a520b2691fe3		checkinsCount:2636		lat: 40.66908642248909	lng:-73.9423511438116	Category:4bf58dd8d48988d139941735
VenueId:4c879438f554236a89d9cd55		checkinsCount:2145		lat: 40.6782837319809	lng:-73.96623528870116	Category:4f4533804b9074f6e4fb0105
VenueId:4acbc102f964a5204bc520e3		checkinsCount:1673		lat: 40.655248051873194	lng:-73.9440393447876	Category:4bf58dd8d48988d196941735
VenueId:4a58c160f964a520c9b71fe3		checkinsCount:1588		lat: 40.68266397314357	lng:-73.96279147030556	Category:4bf58dd8d48988d172941735
VenueId:4c02d3b2f423a5933a62cf16		checkinsCount:1573		lat: 40.67690927782188	lng:-73.95855548934293	Category:4bf58dd8d48988d130941735

Category7:
VenueId:4c795d8593ef236ad04eaf0f		checkinsCount:1219		lat: 40.676029089937515	lng:-73.91185023551095	Category:4d954b06a243a5684965b473
VenueId:5115467de4b0c5c7cf7976a0		checkinsCount:1090		lat: 40.679520961037184	lng:-73.9381548982625	Category:4d954b06a243a5684965b473
VenueId:4d7e05d1e7e1721ea96fd80b		checkinsCount:930		lat: 40.67866902054014	lng:-73.92144441604614	Category:4f2a210c4b9023bd5841ed28
VenueId:4d858cbc5e70224bf4a92509		checkinsCount:902		lat: 40.67613734801564	lng:-73.95852105009223	Category:4d954b06a243a5684965b473
VenueId:4c6e749f10faa14399a8f068		checkinsCount:819		lat: 40.67064035482313	lng:-73.95906059764725	Category:4d954b06a243a5684965b473
VenueId:5047a95be4b0568f68be52f0		checkinsCount:788		lat: 40.68253965438362	lng:-73.96665428240792	Category:4d954b06a243a5684965b473
VenueId:4a6bafeaf964a5209dcf1fe3		checkinsCount:758		lat: 40.653374	lng:-73.96245002746582	Category:4d954b06a243a5684965b473
VenueId:4dadbd2a1e72b2444e47f634		checkinsCount:745		lat: 40.68367323037488	lng:-73.96383610171844	Category:4d954b06a243a5684965b473
VenueId:4b6382bdf964a520997f2ae3		checkinsCount:716		lat: 40.66732577029993	lng:-73.90981435775757	Category:4f2a210c4b9023bd5841ed28
VenueId:4eb9c3604fc6624001984782		checkinsCount:705		lat: 40.66479483927712	lng:-73.95116865634918	Category:4d954b06a243a5684965b473

Category8:
VenueId:51f9c38a498e0a7711ce2e28		checkinsCount:1322		lat: 40.651951	lng:-73.958973	Category:4bf58dd8d48988d176941735
VenueId:4baaa949f964a520ba7d3ae3		checkinsCount:1300		lat: 40.66327258320528	lng:-73.95999619249139	Category:4bf58dd8d48988d118951735
VenueId:4be71422cf200f47b53d153c		checkinsCount:1246		lat: 40.65527835161954	lng:-73.96124173196193	Category:52f2ab2ebcbc57f1066b8b46
VenueId:51c09036498e3b4dd306d62c		checkinsCount:1048		lat: 40.66095618515696	lng:-73.96106379824417	Category:4bf58dd8d48988d1f5941735
VenueId:4b328b7ff964a520400e25e3		checkinsCount:1041		lat: 40.68019278457183	lng:-73.94526148231871	Category:4bf58dd8d48988d10a951735
VenueId:4d085ce3611ff04d92c31afb		checkinsCount:967		lat: 40.64924555196105	lng:-73.963640951225	Category:4bf58dd8d48988d118951735
VenueId:4b6eebdbf964a52022d12ce3		checkinsCount:952		lat: 40.65654454063187	lng:-73.9502037911962	Category:4bf58dd8d48988d10f951735
VenueId:4b818a9df964a520afad30e3		checkinsCount:942		lat: 40.65541800696871	lng:-73.96009376960656	Category:4bf58dd8d48988d10f951735
VenueId:4b4fc2bbf964a520681427e3		checkinsCount:927		lat: 40.66729321874216	lng:-73.95893096923828	Category:4bf58dd8d48988d118951735
VenueId:4a6cd9e8f964a520d1d11fe3		checkinsCount:915		lat: 40.66139298647552	lng:-73.96108746528625	Category:4bf58dd8d48988d186941735

Category9:
VenueId:4ab912baf964a520e77d20e3		checkinsCount:16630		lat: 40.65052298546056	lng:-73.96298110485071	Category:4bf58dd8d48988d1fd931735
VenueId:4b636f5df964a5209d792ae3		checkinsCount:15506		lat: 40.66161146080779	lng:-73.96224590222664	Category:4bf58dd8d48988d1fd931735
VenueId:4b7d7a14f964a520f2c02fe3		checkinsCount:13287		lat: 40.668692921378884	lng:-73.93140077590942	Category:4bf58dd8d48988d1fd931735
VenueId:4b0b68cef964a5202f3123e3		checkinsCount:8547		lat: 40.67933621045698	lng:-73.93028497695923	Category:4bf58dd8d48988d1fd931735
VenueId:4b76cf7af964a520d3602ee3		checkinsCount:8415		lat: 40.65526229575358	lng:-73.9615085721016	Category:4bf58dd8d48988d1fd931735
VenueId:4b1c683af964a520060724e3		checkinsCount:6714		lat: 40.6706459457292	lng:-73.95802974700928	Category:4bf58dd8d48988d1fd931735
VenueId:4c1943b36e02b71394b8627b		checkinsCount:6642		lat: 40.68036952800187	lng:-73.94965589046478	Category:4bf58dd8d48988d1fd931735
VenueId:4b74f496f964a52047f92de3		checkinsCount:5703		lat: 40.68059294410513	lng:-73.95582881515935	Category:4bf58dd8d48988d1fd931735
VenueId:4b93d226f964a520625334e3		checkinsCount:5237		lat: 40.66481089473042	lng:-73.92263775961564	Category:4bf58dd8d48988d1fd931735
VenueId:4b941318f964a520206634e3		checkinsCount:4848		lat: 40.68617919011095	lng:-73.91620206017099	Category:4bf58dd8d48988d1fd931735

