StartLatLng:40.63258422267199,-74.00733947753906
EndLatLng:40.66800934934287,-73.93781661987305
總地點數:1695
Category0:
VenueId:485e640df964a520d7501fe3		checkinsCount:25045		lat: 40.6634023	lng:-73.976447	Category:4bf58dd8d48988d1f2931735
VenueId:44db29bef964a52092361fe3		checkinsCount:7512		lat: 40.639762793778125	lng:-73.96755540277302	Category:4bf58dd8d48988d157941735
VenueId:52b358ef498e5b4b4c57fc83		checkinsCount:7271		lat: 40.660089	lng:-73.980953	Category:4bf58dd8d48988d16a941735
VenueId:4be5e6c62468c9281bbd0043		checkinsCount:6969		lat: 40.663289	lng:-73.984549	Category:4bf58dd8d48988d155941735
VenueId:4b7b5247f964a5203e5e2fe3		checkinsCount:6969		lat: 40.663289	lng:-73.984549	Category:4bf58dd8d48988d14e941735
VenueId:43713c00f964a520022a1fe3		checkinsCount:6434		lat: 40.66632576461497	lng:-73.98208753852673	Category:4bf58dd8d48988d110941735
VenueId:49be9356f964a520bd541fe3		checkinsCount:6127		lat: 40.660143057292565	lng:-73.99126425737475	Category:4bf58dd8d48988d14a941735
VenueId:4eb322976da1af509d30bdd7		checkinsCount:5938		lat: 40.66390755948686	lng:-73.98411345601794	Category:4bf58dd8d48988d110941735

Category4:
VenueId:4a7c3df8f964a5200bec1fe3		checkinsCount:14725		lat: 40.660536	lng:-73.9803324	Category:4bf58dd8d48988d116941735
VenueId:4e613df262e13e3bce1f28e0		checkinsCount:8890		lat: 40.65946654883737	lng:-73.98791845009258	Category:4bf58dd8d48988d117941735
VenueId:4116be80f964a520020c1fe3		checkinsCount:8039		lat: 40.66734922975621	lng:-73.98773480203505	Category:4bf58dd8d48988d116941735
VenueId:49c4489df964a520b9561fe3		checkinsCount:7378		lat: 40.63991281658905	lng:-73.96730859952517	Category:4bf58dd8d48988d116941735
VenueId:4a1099f5f964a520e5761fe3		checkinsCount:6935		lat: 40.66503528333333	lng:-73.98982658333334	Category:4bf58dd8d48988d11d941735
VenueId:4ad139f1f964a52092dd20e3		checkinsCount:5860		lat: 40.63357692052703	lng:-74.00645452100342	Category:4bf58dd8d48988d120941735
VenueId:4af5e676f964a52089fe21e3		checkinsCount:5794		lat: 40.663164	lng:-73.99130693333333	Category:4bf58dd8d48988d116941735
VenueId:4d35113b62a22d432a40049b		checkinsCount:5390		lat: 40.66336832182562	lng:-73.99132164635607	Category:4bf58dd8d48988d11b941735
VenueId:49eb18e4f964a520a5661fe3		checkinsCount:5116		lat: 40.66543225851896	lng:-73.98278771639265	Category:4bf58dd8d48988d123941735
VenueId:4ec71ef0e300719914b279b3		checkinsCount:4630		lat: 40.66093164348044	lng:-73.9936975351119	Category:4bf58dd8d48988d116941735

Category5:
VenueId:4c97edbdf419a09395806b88		checkinsCount:79610		lat: 40.65016889724004	lng:-73.94957542419434	Category:5345731ebcbc57f1066c39b2
VenueId:42893400f964a52052231fe3		checkinsCount:61396		lat: 40.66390776998241	lng:-73.970947265625	Category:4bf58dd8d48988d163941735
VenueId:42717900f964a5206f211fe3		checkinsCount:25049		lat: 40.66760245789949	lng:-73.96317958831787	Category:52e81612bcbc57f1066b7a22
VenueId:4c329d79213c2d7f4fcd355d		checkinsCount:13646		lat: 40.65200850751782	lng:-73.95901679992676	Category:4f2a25ac4b909258e854f55f
VenueId:4a4ff7a8f964a520ddaf1fe3		checkinsCount:10158		lat: 40.64779198054751	lng:-74.00373458862305	Category:4bf58dd8d48988d163941735
VenueId:4a8812c8f964a520140520e3		checkinsCount:7266		lat: 40.65225269975945	lng:-73.99085998535155	Category:4bf58dd8d48988d15c941735
VenueId:4e9982340aaf0a73a1def55c		checkinsCount:6952		lat: 40.660782587829814	lng:-73.95596981048584	Category:4f2a25ac4b909258e854f55f
VenueId:4ccc333c7c2ff04d9d61977e		checkinsCount:6719		lat: 40.65509964529425	lng:-73.97816764319798	Category:4f2a25ac4b909258e854f55f
VenueId:4d9a630f422ea1cd687de54c		checkinsCount:6549		lat: 40.63388695002076	lng:-73.99635314941406	Category:4f2a25ac4b909258e854f55f
VenueId:4edbdcdf9a5286d9211cacd6		checkinsCount:4923		lat: 40.655237463082294	lng:-73.96229785129567	Category:4bf58dd8d48988d163941735

Category6:
VenueId:4ab66100f964a520ce7620e3		checkinsCount:10323		lat: 40.63904061589954	lng:-73.99794101715088	Category:4bf58dd8d48988d196941735
VenueId:4b688c4df964a520357f2be3		checkinsCount:6875		lat: 40.65671312078148	lng:-73.94318103790283	Category:4bf58dd8d48988d196941735
VenueId:4dc91a141f6e936efe51ac20		checkinsCount:2186		lat: 40.63860077793015	lng:-73.99760563590422	Category:4bf58dd8d48988d194941735
VenueId:4bf283941cd9d13afab6ed76		checkinsCount:1784		lat: 40.63296194468323	lng:-73.95274664886308	Category:4bf58dd8d48988d13d941735
VenueId:4acbc102f964a5204bc520e3		checkinsCount:1699		lat: 40.655248051873194	lng:-73.9440393447876	Category:4bf58dd8d48988d196941735
VenueId:4b92721af964a5201cfa33e3		checkinsCount:1272		lat: 40.66577955375878	lng:-73.98234128952026	Category:4bf58dd8d48988d139941735
VenueId:4c01dbb83f0a9c741e64a0ec		checkinsCount:1249		lat: 40.66302051692113	lng:-73.9812840525862	Category:4bf58dd8d48988d124941735
VenueId:4d935019b327370443259625		checkinsCount:1201		lat: 40.664034115670006	lng:-73.98964014208626	Category:4d954af4a243a5684765b473
VenueId:4c043d48187ec928f1cdb67b		checkinsCount:1155		lat: 40.66235123611378	lng:-73.98283936875711	Category:52e81612bcbc57f1066b7a3a
VenueId:4b805a01f964a520736a30e3		checkinsCount:989		lat: 40.666477	lng:-73.975298	Category:4bf58dd8d48988d139941735

Category7:
VenueId:4c475aef49fa9521513d5e62		checkinsCount:3803		lat: 40.63417150786294	lng:-73.94616844276997	Category:4f2a210c4b9023bd5841ed28
VenueId:4eb9c3604fc6624001984782		checkinsCount:713		lat: 40.66479483927712	lng:-73.95116865634918	Category:4d954b06a243a5684965b473
VenueId:4e9a7472be7bc875aa830395		checkinsCount:650		lat: 40.664075385193634	lng:-73.95823979598147	Category:4d954b06a243a5684965b473
VenueId:518dd5d3498ef9877891abd5		checkinsCount:388		lat: 40.65716185407306	lng:-73.96219453552905	Category:4d954b06a243a5684965b473
VenueId:514d228de4b0fb270d703755		checkinsCount:92		lat: 40.66241046867676	lng:-73.97831686468848	Category:4d954b06a243a5684965b473
VenueId:53cc0f2b498e298a246ab981		checkinsCount:89		lat: 40.65334524128351	lng:-73.96447894900577	Category:4d954b06a243a5684965b473
VenueId:4e032a087d8bf11e9f3c17d6		checkinsCount:56		lat: 40.6374136	lng:-73.956394	Category:4d954b06a243a5684965b473

Category8:
VenueId:4ac76e95f964a52032b720e3		checkinsCount:5590		lat: 40.66465	lng:-73.983541	Category:4bf58dd8d48988d1f5941735
VenueId:4a217611f964a520f77c1fe3		checkinsCount:3504		lat: 40.6449382371702	lng:-73.97986072638912	Category:4bf58dd8d48988d118951735
VenueId:4aa0032bf964a520f33d20e3		checkinsCount:2767		lat: 40.646897928255385	lng:-73.95646042374283	Category:52f2ab2ebcbc57f1066b8b46
VenueId:4a2aa3bcf964a5202d961fe3		checkinsCount:2720		lat: 40.66323425152285	lng:-73.99152250765546	Category:52f2ab2ebcbc57f1066b8b46
VenueId:4b1726aef964a52011c323e3		checkinsCount:2465		lat: 40.64114802	lng:-73.96478	Category:50aa9e744b90af0d42d5de0e
VenueId:4c955ff7f244b1f7c5662b1d		checkinsCount:2293		lat: 40.664817330910076	lng:-73.9931810400601	Category:50aa9e744b90af0d42d5de0e
VenueId:4a839101f964a52072fb1fe3		checkinsCount:2253		lat: 40.66668100293465	lng:-73.98862913554814	Category:4d954b0ea243a5684a65b473
VenueId:4aec6fd9f964a52016c721e3		checkinsCount:1860		lat: 40.64290764	lng:-73.9785862	Category:4bf58dd8d48988d10f951735
VenueId:49fe0ef1f964a520656f1fe3		checkinsCount:1612		lat: 40.66129766713343	lng:-74.00055530971083	Category:4bf58dd8d48988d1fa941735
VenueId:49e3c784f964a520ce621fe3		checkinsCount:1581		lat: 40.6634383853172	lng:-73.98437745502413	Category:4bf58dd8d48988d119951735

Category9:
VenueId:4ab912baf964a520e77d20e3		checkinsCount:16609		lat: 40.65052298546056	lng:-73.96298110485071	Category:4bf58dd8d48988d1fd931735
VenueId:4b636f5df964a5209d792ae3		checkinsCount:15330		lat: 40.66161146080779	lng:-73.96224590222664	Category:4bf58dd8d48988d1fd931735
VenueId:4bb52e252ea19521bd20aa2f		checkinsCount:9011		lat: 40.63523850278024	lng:-73.9628791809082	Category:4bf58dd8d48988d1fd931735
VenueId:4b76cf7af964a520d3602ee3		checkinsCount:8557		lat: 40.65526229575358	lng:-73.9615085721016	Category:4bf58dd8d48988d1fd931735
VenueId:4b22e3c3f964a520a84f24e3		checkinsCount:7524		lat: 40.649485135359	lng:-73.9758825302124	Category:4bf58dd8d48988d1fd931735
VenueId:4ae27e80f964a520a38e21e3		checkinsCount:6515		lat: 40.66700025400722	lng:-73.98167610168457	Category:4bf58dd8d48988d1fd931735
VenueId:4c1290c98aedd13a88515137		checkinsCount:6013		lat: 40.64639997975282	lng:-73.99432003498077	Category:4bf58dd8d48988d1fd931735
VenueId:4b5b5d39f964a52000f828e3		checkinsCount:5275		lat: 40.6328122017928	lng:-73.94768714904785	Category:4bf58dd8d48988d1fd931735
VenueId:4acd43fdf964a5209ecb20e3		checkinsCount:5088		lat: 40.660619813914266	lng:-73.97944450378418	Category:4bf58dd8d48988d1fd931735
VenueId:4b200f21f964a520ac2c24e3		checkinsCount:4698		lat: 40.64092453500213	lng:-73.96389145699993	Category:4bf58dd8d48988d1fd931735

